,store_nbr,family,year,sales
0,1,AUTOMOTIVE,2013,781.0
1,1,AUTOMOTIVE,2014,1019.0
2,1,AUTOMOTIVE,2015,1151.0
3,1,AUTOMOTIVE,2016,1600.0
4,1,AUTOMOTIVE,2017,924.0
5,1,BABY CARE,2013,0.0
6,1,BABY CARE,2014,0.0
7,1,BABY CARE,2015,0.0
8,1,BABY CARE,2016,0.0
9,1,BABY CARE,2017,0.0
10,1,BEAUTY,2013,648.0
11,1,BEAUTY,2014,808.0
12,1,BEAUTY,2015,824.0
13,1,BEAUTY,2016,1040.0
14,1,BEAUTY,2017,736.0
15,1,BEVERAGES,2013,311948.0
16,1,BEVERAGES,2014,545341.0
17,1,BEVERAGES,2015,577879.0
18,1,BEVERAGES,2016,745377.0
19,1,BEVERAGES,2017,493224.0
20,1,BOOKS,2013,0.0
21,1,BOOKS,2014,0.0
22,1,BOOKS,2015,0.0
23,1,BOOKS,2016,107.0
24,1,BOOKS,2017,104.0
25,1,BREAD/BAKERY,2013,98049.81
26,1,BREAD/BAKERY,2014,114422.5
27,1,BREAD/BAKERY,2015,133522.11
28,1,BREAD/BAKERY,2016,140995.5
29,1,BREAD/BAKERY,2017,83002.29
30,1,CELEBRATION,2013,0.0
31,1,CELEBRATION,2014,4248.0
32,1,CELEBRATION,2015,3466.0
33,1,CELEBRATION,2016,5727.0
34,1,CELEBRATION,2017,3345.0
35,1,CLEANING,2013,220024.0
36,1,CLEANING,2014,227761.0
37,1,CLEANING,2015,240140.0
38,1,CLEANING,2016,240246.0
39,1,CLEANING,2017,150354.0
40,1,DAIRY,2013,154534.0
41,1,DAIRY,2014,223514.0
42,1,DAIRY,2015,245323.0
43,1,DAIRY,2016,266232.0
44,1,DAIRY,2017,164751.0
45,1,DELI,2013,39419.152
46,1,DELI,2014,39314.953
47,1,DELI,2015,51764.727
48,1,DELI,2016,46210.0
49,1,DELI,2017,30328.244
50,1,EGGS,2013,51457.0
51,1,EGGS,2014,52743.0
52,1,EGGS,2015,51803.0
53,1,EGGS,2016,49026.0
54,1,EGGS,2017,31477.0
55,1,FROZEN FOODS,2013,42115.83
56,1,FROZEN FOODS,2014,46466.11
57,1,FROZEN FOODS,2015,55602.33
58,1,FROZEN FOODS,2016,48363.64
59,1,FROZEN FOODS,2017,25378.477
60,1,GROCERY I,2013,675641.0
61,1,GROCERY I,2014,741844.0
62,1,GROCERY I,2015,813668.0
63,1,GROCERY I,2016,919204.0
64,1,GROCERY I,2017,593466.0
65,1,GROCERY II,2013,8137.0
66,1,GROCERY II,2014,8509.0
67,1,GROCERY II,2015,8364.0
68,1,GROCERY II,2016,6960.0
69,1,GROCERY II,2017,4813.0
70,1,HARDWARE,2013,522.0
71,1,HARDWARE,2014,596.0
72,1,HARDWARE,2015,520.0
73,1,HARDWARE,2016,628.0
74,1,HARDWARE,2017,428.0
75,1,HOME AND KITCHEN I,2013,0.0
76,1,HOME AND KITCHEN I,2014,4905.0
77,1,HOME AND KITCHEN I,2015,7781.0
78,1,HOME AND KITCHEN I,2016,7563.0
79,1,HOME AND KITCHEN I,2017,4757.0
80,1,HOME AND KITCHEN II,2013,0.0
81,1,HOME AND KITCHEN II,2014,1205.0
82,1,HOME AND KITCHEN II,2015,6118.0
83,1,HOME AND KITCHEN II,2016,9301.0
84,1,HOME AND KITCHEN II,2017,5172.0
85,1,HOME APPLIANCES,2013,94.0
86,1,HOME APPLIANCES,2014,146.0
87,1,HOME APPLIANCES,2015,145.0
88,1,HOME APPLIANCES,2016,64.0
89,1,HOME APPLIANCES,2017,120.0
90,1,HOME CARE,2013,0.0
91,1,HOME CARE,2014,32322.0
92,1,HOME CARE,2015,37764.0
93,1,HOME CARE,2016,60404.0
94,1,HOME CARE,2017,39572.0
95,1,LADIESWEAR,2013,0.0
96,1,LADIESWEAR,2014,4210.0
97,1,LADIESWEAR,2015,3303.0
98,1,LADIESWEAR,2016,5216.0
99,1,LADIESWEAR,2017,3106.0
100,1,LAWN AND GARDEN,2013,1845.0
101,1,LAWN AND GARDEN,2014,2959.0
102,1,LAWN AND GARDEN,2015,3093.0
103,1,LAWN AND GARDEN,2016,2978.0
104,1,LAWN AND GARDEN,2017,4294.0
105,1,LINGERIE,2013,3412.0
106,1,LINGERIE,2014,2685.0
107,1,LINGERIE,2015,2240.0
108,1,LINGERIE,2016,1281.0
109,1,LINGERIE,2017,1696.0
110,1,"LIQUOR,WINE,BEER",2013,33359.0
