,store_nbr,family,year,month,sales
0,1,AUTOMOTIVE,2013,1,68.0
1,1,AUTOMOTIVE,2013,2,38.0
2,1,AUTOMOTIVE,2013,3,59.0
3,1,AUTOMOTIVE,2013,4,66.0
4,1,AUTOMOTIVE,2013,5,79.0
5,1,AUTOMOTIVE,2013,6,66.0
6,1,AUTOMOTIVE,2013,7,70.0
7,1,AUTOMOTIVE,2013,8,98.0
8,1,AUTOMOTIVE,2013,9,63.0
9,1,AUTOMOTIVE,2013,10,54.0
10,1,AUTOMOTIVE,2013,11,63.0
11,1,AUTOMOTIVE,2013,12,57.0
12,1,AUTOMOTIVE,2014,1,75.0
13,1,AUTOMOTIVE,2014,2,85.0
14,1,AUTOMOTIVE,2014,3,97.0
15,1,AUTOMOTIVE,2014,4,76.0
16,1,AUTOMOTIVE,2014,5,63.0
17,1,AUTOMOTIVE,2014,6,65.0
18,1,AUTOMOTIVE,2014,7,108.0
19,1,AUTOMOTIVE,2014,8,68.0
20,1,AUTOMOTIVE,2014,9,101.0
21,1,AUTOMOTIVE,2014,10,93.0
22,1,AUTOMOTIVE,2014,11,91.0
23,1,AUTOMOTIVE,2014,12,97.0
24,1,AUTOMOTIVE,2015,1,91.0
25,1,AUTOMOTIVE,2015,2,75.0
26,1,AUTOMOTIVE,2015,3,91.0
27,1,AUTOMOTIVE,2015,4,83.0
28,1,AUTOMOTIVE,2015,5,80.0
29,1,AUTOMOTIVE,2015,6,103.0
30,1,AUTOMOTIVE,2015,7,94.0
31,1,AUTOMOTIVE,2015,8,106.0
32,1,AUTOMOTIVE,2015,9,93.0
33,1,AUTOMOTIVE,2015,10,109.0
34,1,AUTOMOTIVE,2015,11,96.0
35,1,AUTOMOTIVE,2015,12,130.0
36,1,AUTOMOTIVE,2016,1,146.0
37,1,AUTOMOTIVE,2016,2,129.0
38,1,AUTOMOTIVE,2016,3,168.0
39,1,AUTOMOTIVE,2016,4,159.0
40,1,AUTOMOTIVE,2016,5,146.0
41,1,AUTOMOTIVE,2016,6,123.0
42,1,AUTOMOTIVE,2016,7,136.0
43,1,AUTOMOTIVE,2016,8,128.0
44,1,AUTOMOTIVE,2016,9,109.0
